id,symbol,event title,type of event,start date,end date,exact location,location coordinate x,location coordinate y,location Region,summary text,main agency,main actor,secondary actor,Diazoma meetings flagged,source link,Image 01,Image 02,Image 03
,,,Political event,21/04/1967,23/07/1974,,,,Greece,Military coup and imposition of a dictatorship,,,,,,,,
,,17th NOV,Political event,14/11/1973,17/11/1973,Athens,,,Greece,Polytechnic Uprising – Mass nationwide anti-dictatorship protests,,,,,,,,
,,,Political event,23/07/1974,23/07/1974,Athens,,,Greece,Fall of the military dictatorship,,,,,,,,
,,FEK 289A,Legislation changes regarding Forestry,29/12/1979,29/12/1979,Athens,,,Greece,National Forest cadastre was established by Law 998,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,FEK 208A,Legislation changes regarding Forestry,6/8/1981,6/8/1981,Athens,,,Greece,Presidential Decree regarding the creation of forest cooperatives,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Political event,19/06/2000,19/06/2000,Athens,,,Attica,Greece joins the eurozone,Greek central government,Prime Minister,,,,,,
,,ATTICA,Active Fire,23/07/2018,23/07/2018,Neos Voutzas,,,Attica,,Fire Department,,,,,,,
,,ATTICA,Active Fire,23/07/2018,23/07/2018,Kineta,,,Attica,,Fire Department,,,,,,,
,,KYTHERA,Active Fire,4/8/2017,7/8/2017,Kythera,,,Kythera,"Between 2,000 and 3,750 hectares of forest and farmland were burnt. It affected more than a fifth, and possibly up to a third, of the island’s vegetation, leading to a state of emergency. Gale-force winds made the fire harder to contain.",Fire Department,,,,,,,
,,,Political event,23/04/2009,23/04/2009,,,,,"Prime Minister George Papandreou's announcement  from Kastelorizo,officially requesting the activation of a joint European Union (EU) and International Monetary Fund (IMF) financial bailout package.",Greek central government,Prime Minister,,,,,,
,,General strike,Announcement / Meetings / Events / Demonstrations by civil society,5/5/2010,5/5/2010,Athens,,,Attica,General strike and massive protest in Athens on the eve of the vote on the 1st Memorandum in Parliament; three Marfin Bank employees are killed in an arson attack on the Stadiou Street branch. ,,,,,,,,
,,,Legislation changes,6/5/2010,6/5/2010,Athens,,,Attica,The 1st Memorandum is voted by 157 members of the Greek Parliament,Greek central government,Prime Minister,,,,,,
,,,Legislation changes,12/12/2012,12/12/2012,Athens,,,Attica,The second and harshest bailout memorandum is approved by 199 members of Parliament.,Greek central government,Prime Minister,,,,,,
,,,Legislation changes,7/11/2013,7/11/2013,Athens,,,Attica,The 2013-2016 medium term program is approved with 153 votes,Greek central government,Prime Minister,,,,,,
,,,Event,29/06/2015,29/06/2015,,,,Greece,Capital controls were imposed and current support programme expires a few days later,Greek central government,Prime Minister,,,,,,
,,Referendum,Political event,5/7/2015,5/7/2015,,,,Greece,Bailout referendum,Greek central government,Prime Minister,,,,,,
,,,Legislation changes,14/08/2015,14/08/2015,Athens,Attica,,Attica,The third bailout memorandum is approved by the parliament with 222 votes.,Greek central government,Prime Minister,,,,,,
,,,Political event,21/08/2018,21/08/2018,Athens,Attica,,Attica,Greece's official exit from the bailout memorandum.,,,,,,,,
,,FEK 1366Β,Legislation changes regarding Forestry,21/04/2017,21/04/2017,Athens,Attica,,Attica,Ratification of Forest Maps,Greek central government,,,,,,,
,,,Announcement / Meeting / Event by the greek government,18/08/2021,18/08/2021,Athens,,,Attica,"Meeting at Maximou
Presentation of immediate and long-term mesures",Greek central government,Prime Minister,,,,,,
,,NORTH EVIA,Active Fire,3/8/2021,13/08/2021,Mutiple Locations,,,North Evia,,"Fire Department, Fire Department, Ministry of Civil Protection",,,,,,,
,,,Fire (between suppression of the main fronts and full suppression),14/08/2021,18/09/2021,Mutiple Locations,,,North Evia,,"Fire Department, Ministry of Civil Protection",,,,,,,
,,,Event,18/09/2021,18/09/2021,Mutiple Locations,,,North Evia,Full suppression of the fire fronts announced by the fire brigade,Fire Department,,,,,,,
